Source,Title,Type,Role,Major Contents,Artifact,Stage,Status,Description,Component,Inputs,Outputs,Dependencies,Consumers,Claim / Result,Evidence,Verification State,Test,Input,Expected Result,Actual Result,Atom / Record,Plane,Binding,X,Y,Z,R,Receptor,Payload,Version,Contents,Missing / Unresolved Item,Why It Matters,Source Evidence,Current Status
1,SPATIAL DNA — TRANSFER INDEX & PROVENANCE MAP,System Causal Execution Chain,Deterministic flow of data and state transitions,8-step pipeline from Job Inception to Gemini Canvas Rendering,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
2,"STAGE 2 — Candidate Evidence Substrate, Graph Atoms & Binding Gate",Data Inventory / Process Stage,Ground-truth evidentiary substrate of the candidate,"44 immutable candidate atoms, 11 relational edges, 6 origin planes, Binding Gate",Candidate DNA Knowledge Graph (nodes.jsonl / edges.jsonl),STAGE_02_SPATIAL_DNA_CORE,PROVEN BY ARTIFACT,Contains node definitions and 11 relational graph edges connecting candidate atoms.,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
3,STAGE 3 — SPATIAL COORDINATE ENGINE & EXACT 25-ATOM SAMPLE,Technical Specification / Verification Sample,Spatial Engine & Calibration,"Stage ID, Coordinate Formulas, Azimuth Anchors, 25-Atom Verification Data",STAGE 3 — SPATIAL COORDINATE ENGINE,STAGE_03_SPATIAL_COORDINATES,PROVEN BY EXECUTION,"Converts bound candidate atoms into an observable, deterministic 3D coordinate space.",Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
4,STAGE 4 — MACHINE-READABLE SPATIAL & DYNAMIC LAYOUT PAYLOAD,Data Specification,Durable machine-readable data packet for layout engines,"Stage ID, Purpose, Inputs, Transformation, Outputs, Dependencies, Consumers, Evidence Status",MARA_LAYOUT_PAYLOAD_v1,STAGE_04_PAYLOAD_LAYOUT,PROVEN BY ARTIFACT,Machine-readable data packet consumed by downstream layout engines and renderers,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
5,"STAGE 5 — TEST CANVAS, WEBGL STAGE & ROUND-TRIP VALIDATION",Document Excerpt,Independent visual verification boundary,"Context, Lifecycle, Inputs/Outputs, Dependencies, Consumers, Evidence Status",ThreeSpatialStage.tsx,STAGE_05_TEST_CANVAS,PROVEN BY ARTIFACT,Three.js component source code for visual topology,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
6,"STAGE 1 — JOB INCEPTION, NORMALIZATION & DEMAND DECOMPOSITION",Process Stage,Normalization & Demand Decomposition,"Establishes target demand entry point, ingests raw postings, enforces structural normalization",SCOUT_TARGET_OBSERVATION_v1,STAGE_01_JOB_INCEPTION,PROVEN BY ARTIFACT,Output envelope containing target demand entry points and receptors.,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
7,FORENSIC POSTMORTEM & PROVEN VS UNPROVEN LEDGER,Forensic Analysis / Ledger,Source Document,"Experimental parameters, spatial DNA architecture, workflow paths",candidate_spatial_dna_nodes.jsonl,Not in source,PROVEN BY ARTIFACT,Extraction of 44 nodes with dual provenance.,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
8,GPT WORK EXECUTION HANDOFF: SPATIAL DNA CONTEXT TRANSFER,Markdown Document,Systems Architecture / Evidence Custodian,"Project definition, 3D coordinate bounds, atemporal capability graph description",Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
3,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,VERIFIED,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Exact 25-Atom Verification Sample,ID-001,"X: 9.69, Y: -0.8, Z: 2.24, R: 9.95","X: 9.69, Y: -0.8, Z: 2.24, R: 9.95",ID-001,plane_01,Identity,9.69,-0.8,2.24,9.95,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
3,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,WH-TWIN-003,plane_02,Work History,0.83,4.1,4.27,4.35,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source,Not in source
